character,high-freq,medium-freq
孔,"孔
孔子
毛孔
面孔","千疮百孔
孔明
孔融
孔雀
插孔
瞳孔
穿孔
脸孔
鼻孔"
宜,"便宜
宜
宜家","事宜
宜人
宜昌
宜兴
宜宾
相宜
适宜"
艾,"自怨自艾
艾
艾滋
艾滋病","布宜诺斯艾利斯
艾哈迈迪内贾德
艾未未
艾森豪威尔
艾灸
艾美奖
艾草
艾叶
艾迪
艾青
苦艾
苦艾酒
防艾"
桥,"大桥
桥
虹桥","剑桥
吊桥
天桥
小桥
康桥
断桥
板桥
桥梁
桥头
独木桥
立交桥
路桥
高架桥
鹊桥"
淡,"平淡
淡定","冷淡
扯淡
淡
淡化
淡忘
淡淡
淡漠
淡然
清淡"
翼,"小心翼翼
翼","不翼而飞
右翼
如虎添翼
机翼
比翼
羽翼
鼻翼"
恨,恨,"仇恨
可恨
怨恨
悔恨
憎恨
痛恨
相见恨晚"
繁,"繁忙
繁华
频繁","纷繁
繁
繁多
繁星
繁荣
繁殖
繁琐
繁盛
繁花
繁衍
繁复
繁重
繁杂
繁体
繁体字"
寒,"寒假
寒冷","严寒
大寒
天寒地冻
寒
寒冬
寒心
寒意
寒暄
寒气
心寒
风寒"
伴,"伴
陪伴","伙伴
伴侣
伴奏
伴娘
伴随
同伴
玩伴
相伴
结伴"
叹,"叹
叹息
感叹","哀叹
唉声叹气
叹气
感叹号
慨叹
赞叹
长叹
惊叹
惊叹号"
旦,一旦,"元旦
复旦
撒旦
花旦"
愈,"愈
治愈","愈来愈
愈加
愈合
痊愈"
潮,"潮
潮流","人潮
低潮
新潮
浪潮
潮州
潮水
潮湿
狂潮
风潮
高潮
高潮迭起"
粮,"五粮液
粗粮
粮
粮食","干粮
口粮
弹尽粮绝
断粮
狗粮
粮票
粮草
杂粮
食粮
余粮"
缩,"压缩
收缩
浓缩
缩
缩小
缩水
缩短
萎缩
蜷缩
退缩","伸缩
压缩机
宫缩
微缩
畏缩
紧缩
缩写
缩影
缩成
缩减"
罢,"罢
罢了","作罢
欲罢不能
罢休
罢工"
聚,"聚
聚会","凝聚
汇聚
团聚
相聚
聚宝盆
聚散
聚焦
聚集
聚餐
聚首
齐聚一堂"
径,"捷径
直径
路径
途径","半径
口径
小径
幽径
径
径直
田径
行径
门径"
恰,恰,"恰似
恰好
恰巧
恰恰
恰当"
挑,挑战,"挑
挑剔
挑选
百里挑一"
袋,"口袋
眼袋
脑袋
袋","塑料袋
热水袋
袋子
袋鼠
麻袋"
灰,灰,"心灰意冷
灰尘
灰姑娘
灰心
灰暗
灰色
灰蒙蒙
炮灰
烟灰缸"
捕,捕鱼,"捕
捕捉
捕获
捕风捉影
被捕
追捕
逮捕"
徐,"徐州
徐志摩","徐
徐克
徐汇区
徐家汇
徐州市
徐徐
徐闻
林则徐"
珍,珍惜,"珍爱
珍珠
珍藏
珍贵
珍重"
幕,"字幕
屏幕
幕","内幕
夜幕
帷幕
幕后
序幕
荧幕
落幕
谢幕
银幕
开幕
黑幕"
映,上映,"倒映
公映
反映
放映
放映室
映
映像
映衬
首映"
裂,"分裂
天崩地裂
撕裂
裂","四分五裂
断裂
决裂
爆裂
破裂
碎裂
裂痕
裂纹
裂缝
裂开
开裂
龟裂"
泰,"泰
泰国
泰坦尼克号","否极泰来
国泰
国泰民安
康泰
托尔斯泰
泰来
泰勒
泰坦
泰姬陵
泰安
泰山
泰州
泰州市
泰式
泰戈尔
泰拳
泰文
泰斗
泰晤士
泰然
泰兴
泰语
泰迪熊
泰达
泰铢
阿勒泰"
隔,"时隔
隔
隔壁","分隔
相隔
与世隔绝
间隔
隔世
隔夜
隔天
隔绝
隔阂
隔离
隔音"
启,"启动
启程
开启","启
启事
启用
启发
启蒙
启示
启示录
启航
启迪
启齿
重启"
尖,"尖
尖叫","尖刀
尖刻
尖尖
尖椒
尖沙咀
尖端
尖锐
指尖
笔尖
脚尖
舌尖
顶尖
鼻尖"
忠,"忠告
忠实
忠诚","忠
忠厚
忠心
忠于
忠义
忠言
忠贞"
累,累,"积累
累累
累计"
炎,"消炎
炎亚纶
炎症
发炎
胃炎
鼻炎","中耳炎
乳腺炎
咽炎
支气管炎
气管炎
消炎药
炎夏
炎帝
炎炎
炎热
炎黄子孙
皮炎
结膜炎
肝炎
肺炎
胰腺炎
肾炎
腮腺炎
肠炎
肠胃炎
阑尾炎
关节炎
阴道炎
鼻窦炎"
暂,"暂时
短暂","暂
暂停"
估,估计,"估
估值
低估
评估"
泛,"广泛
泛滥","泛
泛泛之交
泛滥成灾
泛白
泛红
泛舟
泛酸"
荒,"拓荒者
荒唐
荒村","兵荒马乱
拾荒
破天荒
荒原
荒地
荒岛
荒废
荒凉
荒漠
荒芜
荒诞
荒谬
荒郊
荒野
蛮荒
饥荒"
偿,"补偿
赔偿","偿
偿命
偿还
如愿以偿
得不偿失
无偿"
横,"横
横批
横行
纵横","妙趣横生
专横
强横
才华横溢
横向
横幅
横扫
横扫千军
横梁
横流
横渡
横滨
横生
横祸
横空
横纹
横线
横冲直撞
横竖
横财
横贯
横跨
横躺
横飞
蛮横"
拒,拒绝,"抗拒
拒
拒载"
瑞,"瑞典
瑞士
瑞雪","奇瑞
委内瑞拉
海瑞
瑞
瑞安
瑞气
瑞金
瑞丽
祥瑞"
忆,"回忆
记忆","忆
记忆力"
孤,"孤单
孤独","孤
孤僻
孤儿
孤寂
孤岛
孤注一掷
孤立
孤身"
鼻,"鼻子
鼻涕","嗤之以鼻
扑鼻
流鼻涕
鼻
鼻塞
鼻孔
鼻屎
鼻梁
鼻水
鼻炎
鼻翼
鼻腔"
闹,"热闹
闹
闹钟","吵闹
喧闹
大闹
大闹天宫
凑热闹
无理取闹
胡闹
闹剧
闹心
闹铃
闹腾"
羊,"白羊座
羊","山羊
放羊
绵羊
羊毛
羊皮
羊羔
羊肉
羊肉串"
呆,呆,"痴呆
发呆"
厉,厉害,严厉
衡,平衡,"制衡
均衡
失衡
抗衡
权衡
衡山
衡量
衡阳"
胞,"同胞
细胞
双胞胎","侨胞
癌细胞
白细胞
细胞壁
胞"
零,"零
零下
零食","凋零
孤零零
涕零
零件
零售
零售店
零度
零星
零时
零点
飘零"
穷,"穷
贫穷","其乐无穷
回味无穷
层出不穷
山穷水尽
无穷
无穷无尽
穷人
穷光蛋
穷困
穷尽
穷苦"
舍,"宿舍
舍
舍得","不舍
依依不舍
割舍
取舍
恋恋不舍
舍弃
施舍"
码,"密码
数码
码
码头
筹码
号码
起码","乱码
代码
尺码
条码
源代码
码字
编码
解码"
赫,"赫本
赫然","兆赫
博尔赫斯
巴赫
赫
赫拉
赫尔
赫尔曼
赫尔辛基
赫兹
赫赫
赫鲁晓夫
显赫"
婆,老婆,"公婆
外婆
婆婆"
魂,"灵魂
惊魂","神魂颠倒
迷魂
销魂
魂牵梦绕"
灾,"消灾
火灾
灾
灾难","受灾
多灾多难
天灾
幸灾乐祸
成灾
救灾
旱灾
水灾
泛滥成灾
洪灾
灾区
灾害
灾情
灾民
灾祸
灾变
重灾区
防灾"
洪,"洪
洪水","射洪
山洪
希洪
抗洪
景洪
景洪市
泗洪
洪亮
洪山
洪山区
洪武
洪江
洪流
洪湖
洪涝
洪灾
洪都拉斯"
腿,腿,"二郎腿
大腿
小腿
火腿
双腿
鸡腿"
胆,"大胆
胆固醇
胆子
胆小
胆小鬼
胆量","心惊胆战
提心吊胆
斗胆
海胆
肝胆相照
胆囊
胆大
胆怯
胆敢
胆汁
胆略
胆结石
胆识
胆碱
卧薪尝胆
色胆"
津,天津,"京津
问津
天津市
延津
津
津巴布韦
津津
津津有味
津津乐道
牛津
迷津"
俗,"世俗
俗
俗话
民俗
习俗","低俗
俗世
俗事
俗人
俗套
俗气
俗称
俗语
媚俗
庸俗
恶俗
愤世嫉俗
粗俗
脱俗
通俗
风俗"
辩,"争辩
狡辩
答辩
辩解
辩论
辩护","分辩
善辩
好辩
抗辩
申辩
能言善辩
诡辩
辩别
辩明
辩证
辩证法
辩护人
辩驳
雄辩"
胸,"胸
胸部","心胸
胸口
胸围
胸闷
胸怀
胸罩
胸肌
胸脯
胸膛
胸襟
隆胸"
晓,晓得,"揭晓
晓
知晓
破晓"
劲,"使劲
劲
劲儿
差劲
没劲
费劲","一个劲
不对劲
不得劲
劲头
对劲
带劲
干劲
强劲
冲劲
起劲
较劲"
贫,"贫
贫困
贫富
贫穷
贫血","一贫如洗
劫富济贫
扶贫
脱贫
贫乏
贫僧
贫嘴
贫寒
贫民
贫民窟
贫瘠
贫苦
贫贱
贫道"
仁,"同仁
杏仁
狄仁杰
虾仁","一视同仁
不仁
仁
仁兄
仁和
仁川
仁爱
仁慈
仁波切
仁义
同仁堂
成仁
松仁
核桃仁
薏仁
见仁见智
铜仁"
偶,"偶像
偶尔
偶遇","偶
偶像剧
偶然
玩偶"
辑,"专辑
编辑
逻辑","剪辑
合辑
特辑
辑"
邦,"联邦
肖邦
邦","刘邦
友邦
杜邦
乌托邦
硬邦邦
萧邦
邦德
邦迪"
恢,恢复,恢恢
赖,"依赖
赖
赖床","信赖
死皮赖脸
无赖
耍赖"
圈,圈,"光圈
呼啦圈
圈圈
圈套
圈子
圆圈
怪圈
眼圈
转圈"
摸,摸,"估摸
捉摸
摸爬滚打
摸索
摸黑
抚摸
触摸
触摸屏"
仰,"仰望
信仰","仰天
仰慕
仰卧
仰头
敬仰"
润,"利润
滋润","圆润
大润发
浸润
净利润
温润
润滑
润滑剂
润泽
润肺
湿润
红润"
堆,堆,"堆满
堆积
扎堆"
碰,"碰
碰到","碰巧
碰撞
碰见"
艇,"救生艇
游艇","快艇
潜水艇
潜艇
艇
舰艇
飞艇"
稍,稍微,"稍
稍后
稍稍"
迟,"迟
迟到","延迟
推迟
迟早
迟疑
迟缓
迟迟
迟钝"
辆,辆,车辆
废,"废
废物
废话
颓废","作废
半途而废
报废
废人
废品
废墟
废寝忘食
废掉
废弃
废气
废纸
废旧
废除
残废
荒废"
净,"干净
净
洗净","净化
净土
清净
洁净
纯净"
凶,"凶
凶手
凶残
凶狠","凶器
凶悍
凶恶
凶杀
凶杀案
凶猛
凶神
凶险
凶兆
凶光
凶暴
吉凶
帮凶
逢凶化吉"
署,"署名
部署","审计署
签署
总署
署"
壁,"壁
壁纸
赤壁
隔壁","壁画
壁虎
戈壁
墙壁
面壁"
御,"抵御
防御",御
奉,"奉上
奉献","供奉
信奉
奉
奉劝
奉化
奉命
奉天
奉承
奉旨
奉行
奉贤
奉送
奉还
奉陪"
旋,"凯旋
旋律
旋转","凯旋门
周旋
回旋
天旋地转
旋涡
旋风
盘旋
螺旋"
冬,"冬
冬天
冬季","冬瓜
冬眠
寒冬
过冬"
矿,"矿
矿泉水
矿物
矿物质
矿石","采矿
煤矿
矿区
矿坑
矿场
矿山
矿工
矿业
矿泉
矿产
矿藏
矿难
金矿
锰矿
铁矿
开矿"
抬,抬头,"抬起
抬高"
蛋,"彩蛋
蛋
蛋糕
鸡蛋","坏蛋
完蛋
捣蛋
操蛋
混蛋
滚蛋
炒蛋
王八蛋
皮蛋
笨蛋
脸蛋
蛋挞
蛋白
蛋白质
蛋黄"
晨,"凌晨
早晨","晨
清晨"
伏,"埋伏
潜伏
起伏","伏
伏案
伏牛山
伏特加
伏笔
光伏
此起彼伏"
吹,吹,"吹干
吹冷风
吹嘘
吹捧
吹散
吹毛求疵
吹牛
吹风机
电吹风"
鸡,"鸡
鸡翅
鸡蛋","公鸡
呆若木鸡
宝鸡
小鸡
母鸡
火鸡
炸鸡
乌鸡
烤鸡
田鸡
落汤鸡
野鸡
金鸡
雄鸡
鸡丁
鸡尾酒
鸡巴
鸡排
鸡毛
鸡汤
鸡肉
鸡肋
鸡脚
鸡腿"
倍,"倍
加倍","事半功倍
倍儿
倍增
倍感"
糊,"模糊
糊涂","一塌糊涂
含糊
模糊不清
稀里糊涂
糊弄
糊里糊涂
迷糊
迷迷糊糊
面糊"
秦,秦,"秦始皇
秦始皇陵
秦岭
秦朝
秦淮
秦淮区
秦皇岛"
盾,矛盾,"后盾
盾
盾牌"
杯,杯,"干杯
杯子
纸杯
酒杯"
租,"出租车
租","出租
房租
租房
租赁
租金"
骑,骑,"骑兵
骑士
骑车
骑马"
乏,缺乏,"乏
乏味"
隆,"兴隆
隆
隆重","乾隆
克隆
吉隆坡
基隆
生意兴隆
科隆
轰隆
隆冬
隆胸
隆起
隆隆"
诊,"急诊
诊断
门诊","就诊
复诊
急诊室
会诊
确诊
听诊器
诊
诊所
诊疗"
奴,"奴
奴隶","匈奴
奴役
奴才
守财奴
房奴
农奴"
摄,"拍摄
摄影
摄影师","摄
摄像
摄像机
摄像头
摄入
摄取
摄氏度"
丧,"丧失
沮丧","哭丧
丧
丧事
丧偶
丧命
丧尸
丧心病狂
丧志
丧权辱国
丧气
丧生
丧尽天良
丧礼
丧钟
垂头丧气
奔丧
懊丧
沦丧
灰心丧气
闻风丧胆
颓丧"
污,污染,"同流合污
污
污吏
污垢
污染物
污水
污渍
污浊
污秽
污蔑
污点
玷污
贪污"
渡,"渡
渡过
过渡","偷渡
官渡
摆渡
横渡
渡假
渡口
渡船
渡轮
轮渡"
旗,旗下,"升旗
国旗
彩旗
旗
旗子
旗帜
旗舰
旗舰店
旗号
旗袍
旗开得胜
红旗
花旗"
甘,甘,"不甘心
心甘情愿
甘心
甘于
甘油
甘甜
甘肃
甘草
甘蔗
甘愿
阿甘正传"
耐,"耐
耐心","忍耐
耐克
耐力
耐性
耐烦
能耐"
凭,凭,"任凭
凭借
凭空
凭证
文凭"
扎,"扎
挣扎","包扎
卡扎菲
安营扎寨
扎堆
扎实
扎根
扎针
扎营
结扎
莫扎特
阿布扎比
驻扎"
抢,抢,"抢先
抢劫
抢眼
抢购
抢走"
绪,情绪,"就绪
心绪
思绪
情绪化
头绪"
粗,粗,"粗俗
粗口
粗大
粗心
粗暴
粗犷
粗略
粗糙
粗粮
粗细
粗话
粗鲁"
肩,肩膀,"并肩
单肩包
披肩
肩"
梁,"梁
梁静茹
桥梁","吕梁
大梁
后梁
梁启超
梁山
栋梁
横梁
脊梁
脊梁骨
铜梁
顶梁柱
高梁
鼻梁"
幻,幻想,"梦幻
幻觉
科幻
虚幻
变幻
迷幻
魔幻"
菲,"王菲
菲律宾","加菲猫
卡扎菲
菲
菲力
菲菲
苏菲
达菲"
皆,皆,
碎,碎,"切碎
心碎
打碎
支离破碎
琐碎
破碎
碎片
粉碎"
宙,宇宙,
叔,"叔叔
大叔",
岩,"岩
岩石","岩层
岩溶
岩浆
攀岩
火山岩
熔岩
砂岩
花岗岩
云岩
云岩区
黄岩
黄岩区
龙岩"
荡,"荡
荡漾
空荡荡
游荡
闯荡
震荡
飘荡","倾家荡产
动荡
回荡
坦荡
振荡
扫荡
放荡
晃荡
浩浩荡荡
浩荡
浪荡
淫荡
涤荡
激荡
空空荡荡
荡涤
荡然无存
雁荡山"
综,"综合
综合症
综艺","综合征
综合性
综述
错综复杂"
爬,爬,"爬上
爬山"
荷,"荷
荷兰","荷包
荷包蛋
荷尔蒙
荷花
荷兰豆
薄荷
负荷
超负荷
重荷"
悉,熟悉,"悉尼
据悉
获悉"
蒂,"斯蒂芬
梵蒂冈
梵蒂冈城
玛莎拉蒂
罗曼蒂克","克里斯蒂安
史蒂夫
史蒂文
史蒂文斯
烟蒂
瓜熟蒂落
芥蒂
阴蒂"
返,返,"往返
返利
返回
返程
返还
返乡
重返"
井,"井
王府井","井井有条
井口
井喷
井冈山
井底之蛙
井然
井然有序
坐井观天
天井
市井
水井
深井
背井离乡
落井下石
龙井
龙井茶"
壮,"壮
壮观
强壮
理直气壮","健壮
壮士
壮大
壮年
壮志
壮族
壮烈
壮美
壮举
壮丽
悲壮
气壮山河
波澜壮阔
粗壮
老当益壮
茁壮
雄壮"
薄,"微薄
薄","刻薄
厚积薄发
淡薄
浅薄
薄弱
薄情
薄熙来
薄片
薄纱
薄荷
轻薄"
悄,悄悄,悄然
扫,"打扫
扫","扫地
扫帚
扫描
扫兴
扫荡
扫除
横扫
清扫"
敏,"敏感
过敏","敏捷
敏锐
机敏
过敏性
灵敏"
碍,"阻碍
障碍","妨碍
无碍
碍
碍事
碍眼"
殖,"生殖
繁殖","增殖
殖民
殖民主义
殖民地
殖民者
生殖器
养殖"
详,"详情
详细","安详
详见"
迪,"奥迪
迪士尼
迪拜
迪斯尼","凯迪拉克
启迪
爱迪生
比亚迪
泰迪熊
穆迪
肯尼迪
蹦迪
迪克
迪奥
迪厅
迪斯科
邦迪
阿迪达斯
麦迪逊"
矛,矛盾,
霍,挥霍,"挥霍无度
炉霍县
霍尔木兹
霍华德
霍金"
允,允许,
幅,幅,"增幅
大幅
幅度
横幅
涨幅
跌幅"
撒,"撒
撒娇","凯撒
撒哈拉
撒尿
撒手
撒旦
撒泼
撒谎
撒野
播撒"
剩,"剩
剩下",剩余
凯,凯旋,"凯撒
凯文
凯旋门
凯歌
凯尔特人
凯特
凯迪拉克
凯里
袁世凯"
颗,颗,
骂,骂,"挨骂
破口大骂
骂人
骂街
谩骂
辱骂"
赏,欣赏,"悬赏
观赏
赞赏
赏
赏识
鉴赏"
液,血液,"乳液
五粮液
唾液
尿液
汁液
汗液
液
液化
液态
液晶
液体
溶液
眼线液
精液
胃液
输液
体液
黏液"
番,"番
番茄","番禺
番禺区
番茄红素
番茄酱
番薯
轮番"
箱,"冰箱
箱
箱子
翻箱倒柜","信箱
烤箱
纸箱
行李箱
邮箱
音箱"
贴,贴,"倒贴
创可贴
粘贴
紧贴
补贴
贴切
贴合
贴士
贴心
贴纸
贴身
贴近
锅贴
体贴"
漫,"浪漫
漫画","动漫
弥漫
漫天
漫步
漫游
漫长"
酸,"心酸
酸
酸奶
酸痛","乳酸
乳酸菌
亚硝酸盐
寒酸
柠檬酸
氨基酸
泛酸
玻尿酸
甜酸
硫酸
碳酸
胃酸
脂肪酸
草酸
叶酸
辛酸
酸乳
酸性
酸梅
酸涩
酸甜苦辣
酸菜"
郎,女郎,"二郎神
二郎腿
新郎
牛郎
郎君"
腰,腰,"弯腰
腰包
腰围
腰带
腰果
腰部"
舒,舒服,"舒坦
舒心
舒畅
舒缓
舒适"
眉,"眉
眉毛
眉眼
美眉","峨眉
峨眉山
皱眉
眉来眼去
眉山
眉梢
眉清目秀
眉目
眉笔
眉间
眉头
迫在眉睫"
忧,"忧伤
忧郁","忧
忧心
忧患
忧愁
忧虑
忧郁症
担忧
无忧无虑"
浮,"浮躁
浮云
轻浮","悬浮
沉浮
浮上
浮出
浮动
浮想
浮沉
浮潜
浮现
浮肿
浮华
浮夸
浮起
漂浮
卢浮宫
罗浮山
云浮
飘浮"
辛,辛苦,"千辛万苦
艰辛
辛亥
辛勤
辛辛苦苦
辛辣
辛酸"
恋,"恋人
恋爱
暗恋","初恋
同性恋
失恋
爱恋
恋情
热恋
留恋
相恋
眷恋
自恋
谈恋爱
迷恋"
餐,"早餐
餐","午餐
大餐
套餐
快餐
晚餐
聚餐
自助餐
餐具
餐厅
餐桌
餐馆"
吓,吓,"吓唬
吓坏
惊吓"
挺,挺,
励,奖励,"励志
鼓励"
辞,"言辞
辞
辞去
辞职","不辞而别
修辞
婉辞
推辞
措辞
义不容辞
致辞
请辞
辞世
辞典
辞别
辞掉
辞藻
辞退"
艘,,
键,"按键
关键","键
键盘
关键词"
伍,队伍,"入伍
为伍
落伍
退伍"
峰,"峰
巅峰
高峰","主峰
尖峰
山峰
峰值
峰回路转
峰峦
峰会
文峰
杜琪峰
珠峰
珠穆朗玛峰
登峰造极
赤峰
错峰
雪峰
雷峰塔
顶峰
高峰期"
尺,"咫尺
尺","公尺
尺子
尺寸
尺度
尺码
英尺"
昨,,"昨天
昨晚"
黎,"巴黎
黎
黎明",
辈,辈子,"一辈子
上辈子
下辈子
前辈
半辈子
辈
长辈"
贯,"一贯
满贯
贯彻
贯穿","全神贯注
大满贯
如雷贯耳
横贯
籍贯
腰缠万贯
万贯
贯通
连贯"
侦,侦探,"侦察
侦查
侦缉"
滑,"滑
滑动
滑雪","下滑
光滑
圆滑
平滑
油滑
滑倒
滑冰
滑坡
滑板
滑梯
滑稽
滑落
滑行
润滑
润滑剂
轮滑
防滑"
券,"优惠券
证券","债券
入场券
券
券商
抵用券
奖券
购物券"
崇,崇拜,
扰,"困扰
打扰
非诚勿扰
骚扰","干扰
性骚扰
扰乱
烦扰
纷扰"
宪,宪法,"宪
宪政
宪章
立宪
违宪"
绕,"围绕
环绕
绕","萦绕
缭绕
绕口令
绕行
绕路
绕过
绕道
缠绕
魂牵梦绕"
趋,趋势,"大势所趋
日趋
趋
趋之若鹜
趋向
趋于"
慈,"慈善
慈悲","仁慈
慈
慈善家
慈爱
慈母
慈溪
慈祥
慈禧"
乔,乔,"乔丹
乔布斯"
阅,"订阅
阅读","翻阅
阅历"
汗,"汗
汗水","一身汗
出汗
成吉思汗
汗液
汗颜
流汗
满头大汗
血汗
阿富汗"
枝,"枝
荔枝
金枝玉叶","折枝
枝叶
树枝
花枝"
拖,"拖
拖鞋","拍拖
拖延
拖后腿
拖把
拖拉
拖拉机
拖拖拉拉
拖欠
拖沓
拖泥带水
拖累
拖走
拖车"
墨,"墨
墨家
墨迹","墨水
墨尔本
墨绿色
墨脱
墨西哥
墨镜
水墨
水墨画"
胁,威胁,胁迫
插,插,"插上
插件
插入
插座
插曲
插画
插花
插队
插头
穿插"
箭,"火箭
箭","光阴似箭
射箭
归心似箭
箭头"
腊,"希腊
腊月","腊八粥
腊梅
腊肠"
粉,"粉红
粉丝","奶粉
散粉
河粉
洗衣粉
凉粉
淀粉
生粉
米粉
粉
粉刺
粉底
粉末
粉碎
粉笔
粉红色
粉色
粉饰
粉饼
糯米粉
胡椒粉
肠粉
花粉
面粉"
泥,"土豆泥
水泥
泥土
泥煤","拖泥带水
拘泥
枣泥
污泥
泥
泥巴
泥沙
泥沼
泥淖
泥浆
泥潭
泥泞
泥石流
泥鳅
淤泥
烂泥
烂醉如泥
草泥马"
氏,氏,"人氏
姓氏
摄氏
摄氏度
李氏
氏族
无名氏
卢氏
罗氏
华氏
里氏"
彭,彭,"彭州
彭州市
彭德怀
彭泽"
拔,"海拔
自拔","出类拔萃
坚韧不拔
拔
拔掉
拔毛
拔河
拔火罐
拔牙
拔丝
拔罐
拔除
挺拔
提拔
选拔"
骗,"欺骗
骗
骗子","拐骗
诈骗
骗人
骗局"
凤,"凤
凤凰","凤凰城
凤梨
凤爪
龙飞凤舞"
慧,智慧,慧
媒,"传媒
媒体","外媒
多媒体
媒
媒人
媒介
媒婆"
佩,佩服,"佩戴
敬佩
钦佩"
愤,愤怒,"悲愤
愤世嫉俗
愤恨
愤慨
愤愤
愤青
气愤
泄愤"
扑,扑克,"扑
扑克牌
扑通
扑面"
龄,年龄,"保龄球
同龄
同龄人
大龄
妙龄
高龄"
驱,"驱
驱动
驱逐
驱魔","先驱
光驱
驱使
驱散
驱走
驱赶
驱逐舰
驱邪
驱除"
惜,"可惜
珍惜",惜
豪,"富豪
自豪
豪华","豪
豪杰
豪宅
豪放
豪气
豪爽
豪迈
豪门"
掩,"掩盖
掩饰","掩
掩埋
掩藏
掩护
遮掩"
兼,"兼
兼职","兼备
兼具
兼容
兼程
兼顾"
跃,"活跃
跃","跳跃
踊跃
雀跃
飞跃"
尸,僵尸,"丧尸
尸体
死尸
行尸走肉
诈尸"
肃,"严肃
甘肃","甘肃省
肃然起敬
肃穆
肃静"
帕,"帕萨特
手帕","卡帕
帕
帕劳
帕子
帕斯
帕斯卡
帕特里克
帕米尔
帕金森
帕金森病"
驶,"行驶
驾驶","驾驶员
驾驶证
驶入"
堡,"城堡
汉堡
碉堡","古堡
堡垒
大堡礁
爱丁堡
汉堡包
汉堡王
卢森堡
圣彼得堡"
届,届,届时
欣,欣赏,"欣喜
欣慰"
惠,"优惠
优惠券
实惠
惠州","互惠
张惠妹
恩惠
惠来
惠州市
惠普
惠东
惠民
特惠
贤惠"
册,"相册
注册","册
手册
画册"
储,存储,"储备
储存
储户
储蓄
储藏
储量
美联储"
飘,飘,"飘忽
飘扬
飘摇
飘散
飘浮
飘渺
飘然
飘荡
飘舞
飘落
飘逸
飘零
飘飘
飘飘然"
桑,"桑拿
沧桑","亚利桑那州
坦桑尼亚
尼桑
扶桑
指桑骂槐
桑
桑塔纳
桑巴
欧巴桑"
闲,"休闲
悠闲
闲","休闲裤
休闲鞋
偷闲
安闲
清闲
空闲
闲事
闲人
闲散
闲暇
闲聊
闲话
闲谈
闲逛
闲置"
惨,"惨
惨遭","悲惨
凄惨
惨不忍睹
惨淡
惨烈"
洁,"清洁
简洁
纯洁","保洁
光洁
廉洁
整洁
清洁剂
清洁工
洁净
洁癖
洁白
皎洁
圣洁"
踪,"失踪
跟踪
追踪","无影无踪
行踪
踪影
踪迹"
勃,"勃勃
勃起
兴致勃勃
蓬勃","勃列日涅夫
勃拉姆斯
勃发
朝气蓬勃
王勃
生机勃勃
生气勃勃
雄心勃勃"
宾,"嘉宾
菲律宾
宾馆
酬宾","来宾
国宾
外宾
宜宾
相敬如宾
贵宾
贵宾室
宾
宾利
宾客
宾阳
迎宾"
频,"视频
频道","音频
频率
频繁
频频"
仇,"仇恨
报仇
复仇","仇
仇人
仇敌
反目成仇
恩仇
记仇"
磨,"折磨
磨
磨坊","打磨
消磨
现磨
琢磨
研磨
磨合
磨叽
磨损
磨灭
磨炼
磨牙
磨砂
磨砺
磨练
磨蹭
磨难"
递,"传递
快递","投递
速递
递
邮递员"
邪,邪恶,"中邪
无邪
辟邪
避邪
邪念
邪教
邪气"
撞,撞,"撞倒
撞击
撞死
撞见
撞车
相撞
碰撞
莽撞
跌跌撞撞"
拟,"拟
模拟
虚拟","拟人
拟定
拟制
模拟器
比拟
草拟
虚拟机"
滚,"滚
滚滚","打滚
摇滚
摸爬滚打
滚动
滚烫
滚蛋
翻滚"
奏,"演奏
节奏","二重奏
伴奏
前奏
协奏曲
合奏
奏
奏效
奏鸣曲
弹奏
独奏"
巡,"巡
巡逻","出巡
巡回
巡查
巡航
巡视
巡警
巡游
巡逻车"
颜,"颜
颜色","五颜六色
容颜
汗颜
红颜
素颜
颜料
颜面"
剂,"催化剂
剂
剂量
抗氧化剂
杀菌剂
冲剂
添加剂
清洁剂
润滑剂
兴奋剂
调剂
镇静剂
防腐剂","中和剂
干燥剂
利尿剂
剂型
塑化剂
增白剂
安慰剂
强心剂
抑制剂
方剂
染发剂
止汗剂
止痛剂
杀虫剂
洗涤剂
洗洁剂
活性剂
汤剂
溶剂
滴剂
漂白剂
甜味剂
粘合剂
药剂
药剂师
制剂
解毒剂
试剂
镇定剂
除臭剂
除草剂
麻醉剂"
绩,成绩,"成绩单
业绩
绩效"
贡,贡献,"呈贡
子贡
自贡
西贡
贡丸
贡品
贡献者
进贡"
疯,"疯
疯狂","疯子
发疯"
坡,新加坡,"上坡
下坡
下坡路
吉隆坡
坡
坡度
山坡
斜坡
东坡
东坡肉
滑坡
苏东坡"
瞧,,"瞧
走着瞧"
截,"截
截图","半截
截屏
截止
截然
截然不同
截至
拦截"
燃,"燃
燃放
燃烧
点燃","燃料
燃气
燃油
燃起
自燃"
焦,"焦虑
焦点","对焦
心焦
焦作
焦急
焦虑症
焦灼
焦糖
焦躁
焦头烂额
焦黄
烧焦
聚焦"
殿,殿堂,"大殿
宫殿
殿
殿下
神殿"
伪,"伪
伪装
虚伪","伪善
伪造"
柳,柳州,"柳
柳丁
柳城
柳州市
柳暗花明
柳林
柳条
柳树
柳橙
柳永
柳江
杨柳
牛柳
花红柳绿
猪柳"
锁,"解锁
连锁
锁
锁定","反锁
封锁
枷锁
连锁店
锁匙
锁门
锁骨
门锁
开锁"
逼,逼,"傻逼
牛逼"
颇,颇,颇为
